Freq.	V(N002,N004)	V(n001)	V(n002)	V(n003)	V(n004)	I(C1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(V1)
1.15852375029604e+004	(-1.08012641810899e+000dB,-2.79854178556137e+001°)	(-6.02059991328987e+000dB,-2.24552130128279e-013°)	(-7.10072633139884e+000dB,-2.79854178556498e+001°)	(-6.02059991326938e+000dB,-1.80000000000000e+002°)	(-7.10072633137838e+000dB,1.52014582144422e+002°)	(-8.38384302216718e+001dB,6.20145821443863e+001°)	(-3.39794000867204e+001dB,-8.22759110781650e-019°)	(-8.38384302216718e+001dB,-1.17985417855614e+002°)	(-8.38384302216718e+001dB,6.20145821443863e+001°)	(-1.26020599913290e+002dB,1.80000000000000e+002°)	(-1.26020599913269e+002dB,-1.80000000000000e+002°)	(-3.39660584763995e+001dB,-1.79837632798459e+002°)
1.24167501128532e+004	(-1.22004597240787e+000dB,-2.96624739757382e+001°)	(-6.02059991327638e+000dB,6.70898253120960e-015°)	(-7.24064588568426e+000dB,-2.96624739757260e+001°)	(-6.02059991328287e+000dB,1.80000000000000e+002°)	(-7.24064588569074e+000dB,1.50337526024250e+002°)	(-8.33762897846427e+001dB,6.03375260242618e+001°)	(-3.39794000867204e+001dB,-3.86727114200492e-017°)	(-8.33762897846427e+001dB,-1.19662473975738e+002°)	(-8.33762897846427e+001dB,6.03375260242618e+001°)	(-1.26020599913276e+002dB,-1.80000000000000e+002°)	(-1.26020599913283e+002dB,1.80000000000000e+002°)	(-3.39645873378184e+001dB,-1.79831524855598e+002°)
1.33079432619005e+004	(-1.37539783678387e+000dB,-3.13998409640124e+001°)	(-6.02059991328002e+000dB,-3.15496115551126e-013°)	(-7.39599775006386e+000dB,-3.13998409640143e+001°)	(-6.02059991327923e+000dB,-1.80000000000000e+002°)	(-7.39599775006313e+000dB,1.48600159035989e+002°)	(-8.29295816576907e+001dB,5.86001590359876e+001°)	(-3.39794000867204e+001dB,-7.67478798177058e-018°)	(-8.29295816576907e+001dB,-1.21399840964012e+002°)	(-8.29295816576907e+001dB,5.86001590359876e+001°)	(-1.26020599913280e+002dB,1.80000000000000e+002°)	(-1.26020599913279e+002dB,-1.80000000000000e+002°)	(-3.39630090726502e+001dB,-1.79825809373831e+002°)
1.42631004290437e+004	(-1.54725080869460e+000dB,-3.31930820175915e+001°)	(-6.02059991328472e+000dB,6.11138612426884e-013°)	(-7.56785072197938e+000dB,-3.31930820176129e+001°)	(-6.02059991327453e+000dB,1.79999999999999e+002°)	(-7.56785072196906e+000dB,1.46806917982430e+002°)	(-8.24993746382735e+001dB,5.68069179824085e+001°)	(-3.39794000867204e+001dB,-6.97411570678233e-018°)	(-8.24993746382735e+001dB,-1.23193082017592e+002°)	(-8.24993746382735e+001dB,5.68069179824085e+001°)	(-1.26020599913285e+002dB,-1.79999999999999e+002°)	(-1.26020599913275e+002dB,1.79999999999999e+002°)	(-3.39613283249083e+001dB,-1.79820585108808e+002°)
1.52868125333390e+004	(-1.73661425845327e+000dB,-3.50367592647090e+001°)	(-6.02059991329819e+000dB,8.64638759774395e-013°)	(-7.75721417175156e+000dB,-3.50367592647940e+001°)	(-6.02059991326106e+000dB,1.79999999999999e+002°)	(-7.75721417171424e+000dB,1.44963240735376e+002°)	(-8.20866780967042e+001dB,5.49632407352910e+001°)	(-3.39794000867204e+001dB,-5.89353346451150e-018°)	(-8.20866780967042e+001dB,-1.25036759264709e+002°)	(-8.20866780967042e+001dB,5.49632407352910e+001°)	(-1.26020599913298e+002dB,-1.79999999999999e+002°)	(-1.26020599913261e+002dB,1.79999999999999e+002°)	(-3.39595524430871e+001dB,-1.79815949761863e+002°)
1.63840000000000e+004	(-1.94441024766428e+000dB,-3.69244617432006e+001°)	(-6.02059991327817e+000dB,4.50296968261502e-013°)	(-7.96501016094250e+000dB,-3.69244617431929e+001°)	(-6.02059991328108e+000dB,1.80000000000000e+002°)	(-7.96501016094530e+000dB,1.43075538256792e+002°)	(-8.16924140945873e+001dB,5.30755382567994e+001°)	(-3.39794000867204e+001dB,3.52921951842293e-017°)	(-8.16924140945872e+001dB,-1.26924461743201e+002°)	(-8.16924140945873e+001dB,5.30755382567994e+001°)	(-1.26020599913278e+002dB,-1.80000000000000e+002°)	(-1.26020599913281e+002dB,1.80000000000000e+002°)	(-3.39576915463361e+001dB,-1.79811996137457e+002°)
1.75599364101946e+004	(-2.17144564028865e+000dB,-3.88488737694934e+001°)	(-6.02059991327423e+000dB,-5.56845550090259e-014°)	(-8.19204555356287e+000dB,-3.88488737694648e+001°)	(-6.02059991328502e+000dB,-1.80000000000000e+002°)	(-8.19204555357368e+000dB,1.41151126230478e+002°)	(-8.13173894958837e+001dB,5.11511262305066e+001°)	(-3.39794000867204e+001dB,-2.91992279444776e-017°)	(-8.13173894958837e+001dB,-1.28848873769493e+002°)	(-8.13173894958837e+001dB,5.11511262305066e+001°)	(-1.26020599913274e+002dB,1.80000000000000e+002°)	(-1.26020599913285e+002dB,-1.80000000000000e+002°)	(-3.39557584413624e+001dB,-1.79808808049566e+002°)
1.88202738482714e+004	(-2.41838580587053e+000dB,-4.08018849483772e+001°)	(-6.02059991328618e+000dB,5.12765050052583e-013°)	(-8.43898571915677e+000dB,-4.08018849484139e+001°)	(-6.02059991327307e+000dB,1.79999999999999e+002°)	(-8.43898571914353e+000dB,1.39198115051660e+002°)	(-8.09622696701376e+001dB,4.91981150516229e+001°)	(-3.39794000867204e+001dB,-8.42626657972875e-018°)	(-8.09622696701376e+001dB,-1.30801884948377e+002°)	(-8.09622696701376e+001dB,4.91981150516229e+001°)	(-1.26020599913286e+002dB,-1.79999999999999e+002°)	(-1.26020599913273e+002dB,1.79999999999999e+002°)	(-3.39537683742498e+001dB,-1.79806456271479e+002°)
2.01710700682431e+004	(-2.68573160728088e+000dB,-4.27747398637241e+001°)	(-6.02059991328581e+000dB,-7.58935012781323e-013°)	(-8.70633152056658e+000dB,-4.27747398637626e+001°)	(-6.02059991327344e+000dB,-1.79999999999999e+002°)	(-8.70633152055442e+000dB,1.37225260136314e+002°)	(-8.06275554802200e+001dB,4.72252601362759e+001°)	(-3.39794000867204e+001dB,-3.02866349166996e-018°)	(-8.06275554802200e+001dB,-1.32774739863724e+002°)	(-8.06275554802200e+001dB,4.72252601362759e+001°)	(-1.26020599913286e+002dB,1.79999999999999e+002°)	(-1.26020599913273e+002dB,-1.79999999999999e+002°)	(-3.39517386168481e+001dB,-1.79804994865135e+002°)
2.16188176101031e+004	(-2.97380128759199e+000dB,-4.47582220335583e+001°)	(-6.02059991328720e+000dB,6.56436668554504e-013°)	(-8.99440120087929e+000dB,-4.47582220336073e+001°)	(-6.02059991327204e+000dB,1.79999999999999e+002°)	(-8.99440120086394e+000dB,1.35241777966491e+002°)	(-8.03135651692031e+001dB,4.52417779664417e+001°)	(-3.39794000867204e+001dB,2.06038597226251e-017°)	(-8.03135651692031e+001dB,-1.34758222033558e+002°)	(-8.03135651692031e+001dB,4.52417779664417e+001°)	(-1.26020599913287e+002dB,-1.79999999999999e+002°)	(-1.26020599913272e+002dB,1.79999999999999e+002°)	(-3.39496879053748e+001dB,-1.79804458227338e+002°)
