GPST;0;1701931261
GPST;1;1801930532
GPST;2;1901929804
GPST;3;2001929076
GPST;4;2101928349
GPST;5;2201927621
GPST;6;2301926894
GPST;0;1906931191
REFT;0;1940455479
GPST;1;2006930465
REFT;1;2040454753
GPST;2;2106929736
REFT;2;2140454021
GPST;3;2206929003
REFT;3;2240453288
GPST;4;2306928271
REFT;4;2340452557
GPST;5;2406927540
REFT;5;2440451826
GPST;6;2506926809
REFT;6;2540451096
GPST;7;2606926080
REFT;7;2640450365
GPST;8;2706925351
REFT;8;2740449636
GPST;9;2806924621
REFT;9;2840448907
GPST;10;2906923892
REFT;10;2940448179
GPST;11;3006923164
REFT;11;3040447451
GPST;12;3106922438
REFT;12;3140446724
GPST;13;3206921711
REFT;13;3240445998
GPST;14;3306920984
REFT;14;3340445272
GPST;15;3406920256
REFT;15;3440444542
GPST;16;3506919525
REFT;16;3540443809
GPST;17;3606918792
REFT;17;3640443078
GPST;18;3706918060
REFT;18;3740442346
GPST;19;3806917328
REFT;19;3840441615
GPST;20;3906916600
REFT;20;3940440886
GPST;21;4006915870
REFT;21;4040440156
GPST;22;4106915140
REFT;22;4140439427
GPST;23;4206914413
REFT;23;4240438698
GPST;24;11946387
REFT;24;45470674
GPST;25;111945659
REFT;25;145469947
GPST;26;211944934
REFT;26;245469220
GPST;27;311944207
REFT;27;345468494
GPST;28;411943474
REFT;28;445467760
GPST;29;511942742
REFT;29;545467027
GPST;30;611942009
REFT;30;645466295
GPST;31;711941279
REFT;31;745465563
GPST;32;811940547
REFT;32;845464833
GPST;33;911939816
REFT;33;945464102
GPST;34;1011939087
REFT;34;1045463372
GPST;35;1111938357
REFT;35;1145462643
GPST;36;1211937628
REFT;36;1245461915
GPST;37;1311936902
REFT;37;1345461188
GPST;38;1411936173
REFT;38;1445460461
GPST;39;1511935446
REFT;39;1545459734
GPST;40;1611934722
REFT;40;1645459008
GPST;41;1711933996
REFT;41;1745458284
GPST;42;1811933273
REFT;42;1845457558
GPST;43;1911932542
REFT;43;1945456827
GPST;44;2011931810
REFT;44;2045456096
GPST;45;2111931081
REFT;45;2145455366
GPST;46;2211930351
REFT;46;2245454636
GPST;47;2311929621
REFT;47;2345453908
GPST;48;2411928894
REFT;48;2445453180
GPST;49;2511928165
REFT;49;2545452452
GPST;50;2611927439
REFT;50;2645451725
GPST;51;2711926711
REFT;51;2745450997
GPST;52;2811925984
REFT;52;2845450271
GPST;53;2911925259
REFT;53;2945449546
GPST;54;3011924534
REFT;54;3045448821
GPST;55;3111923808
REFT;55;3145448092
GPST;56;3211923076
REFT;56;3245447361
GPST;57;3311922345
REFT;57;3345446631
GPST;58;3411921616
REFT;58;3445445901
GPST;59;3511920887
REFT;59;3545445172
GPST;60;3611920159
REFT;60;3645444444
GPST;61;3711919431
REFT;61;3745443716
GPST;62;3811918703
REFT;62;3845442989
GPST;63;3911917976
REFT;63;3945442261
GPST;64;4011917249
REFT;64;4045441534
GPST;65;4111916523
REFT;65;4145440808
GPST;66;4211915796
REFT;66;4245440081
GPST;67;16947775
REFT;67;50472059
GPST;68;116947046
REFT;68;150471328
GPST;69;216946311
REFT;69;250470595
GPST;70;316945580
REFT;70;350469862
GPST;71;416944846
REFT;71;450469129
GPST;72;516944116
REFT;72;550468397
GPST;73;616943383
REFT;73;650467666
GPST;74;716942651
REFT;74;750466934
GPST;75;816941922
REFT;75;850466203
GPST;76;916941190
REFT;76;950465473
GPST;77;1016940460
